
Image Name                     PID Session Name        Session#    Mem Usage
dasHost.exe                  26676 Services                   0      1,400 K
MSOfficePLUSService.exe        792 Services                   0     24,804 K
WeChatAppEx.exe               1508 Console                    1     12,456 K
Video.UI.exe                 24644 Console                    1      1,496 K
WeChatAppEx.exe              36264 Console                    1      8,740 K
SakuraCat.exe                44260 Console                    1    195,092 K
SakuraCat.exe                40576 Console                    1    162,984 K
SakuraCat.exe                33560 Console                    1    153,320 K
SakuraCat.exe                 4592 Console                    1    151,472 K
SakuraCat.exe                 9676 Console                    1    277,116 K
SakuraCat.exe                43724 Console                    1    152,396 K
backgroundTaskHost.exe       33756 Console                    1        960 K
CHXSmartScreen.exe           47416 Console                    1     51,400 K
RuntimeBroker.exe            19732 Console                    1      2,260 K
backgroundTaskHost.exe        6672 Console                    1        796 K
backgroundTaskHost.exe       41692 Console                    1      1,144 K
et.exe                       29688 Console                    1     43,072 K
BaiduNetdisk.exe             29752 Console                    1     45,676 K
svchost.exe                  29420 Services                   0      1,772 K
BaiduNetdiskUnite.exe        15064 Console                    1     91,328 K
BaiduNetdiskUnite.exe         7768 Console                    1     53,104 K
BaiduNetdiskUnite.exe        46556 Console                    1     10,400 K
BaiduNetdiskUnite.exe        10528 Console                    1    139,136 K
BaiduNetdiskUnite.exe        34804 Console                    1      6,712 K
baidunetdiskhost.exe          9320 Console                    1     30,440 K
crashpad_handler.exe         14900 Console                    1      2,876 K
BaiduNetdiskUnite.exe        21272 Console                    1     49,644 K
BaiduNetdiskUnite.exe        39556 Console                    1     72,832 K
BaiduNetdiskUnite.exe        52284 Console                    1      6,780 K
OneDrive.exe                 23496 Console                    1     63,324 K
OneDrive.Sync.Service.exe    54180 Console                    1     34,988 K
MSPCManagerService.exe       42072 Services                   0     93,200 K
FileSyncHelper.exe           54060 Services                   0     16,268 K
backgroundTaskHost.exe       29640 Console                    1      1,132 K
backgroundTaskHost.exe       48916 Console                    1      1,084 K
msedge.exe                   50304 Console                    1     31,852 K
backgroundTaskHost.exe       31788 Console                    1      1,032 K
msedge.exe                   39440 Console                    1     17,832 K
FileCoAuth.exe               38764 Console                    1     19,376 K
msedge.exe                   30072 Console                    1     23,088 K
svchost.exe                   3576 Services                   0      2,360 K
msedge.exe                   46840 Console                    1     16,020 K
WeChatAppEx.exe              38640 Console                    1     89,172 K
kernelUpdate.exe             40564 Console                    1      2,156 K
conhost.exe                  40820 Console                    1      3,472 K
WeChatAppEx.exe              51124 Console                    1     58,076 K
msedge.exe                   53440 Console                    1     13,908 K
backgroundTaskHost.exe       56216 Console                    1        780 K
SearchHost.exe               39924 Console                    1     56,240 K
msedgewebview2.exe           53816 Console                    1     49,304 K
msedgewebview2.exe           47652 Console                    1      7,488 K
msedgewebview2.exe           48788 Console                    1     17,244 K
msedgewebview2.exe           32348 Console                    1     27,164 K
msedgewebview2.exe           24596 Console                    1     12,380 K
msedgewebview2.exe           56148 Console                    1     19,404 K
backgroundTaskHost.exe       48628 Console                    1        868 K
msedge.exe                   35932 Console                    1     26,460 K
WeChatAppEx.exe              12448 Console                    1     56,452 K
msedgewebview2.exe            3508 Console                    1     40,524 K
