
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [::]:3000              [::]:0                 LISTENING       38668
  TCP    [::]:3080              [::]:0                 LISTENING       34160
  TCP    [::]:3306              [::]:0                 LISTENING       12540
  TCP    [::]:4523              [::]:0                 LISTENING       18872
  TCP    [::]:7680              [::]:0                 LISTENING       26908
  TCP    [::]:7897              [::]:0                 LISTENING       21768
  TCP    [::]:18081             [::]:0                 LISTENING       6228
  TCP    [::]:33060             [::]:0                 LISTENING       12540
  TCP    [::]:49664             [::]:0                 LISTENING       1396
  TCP    [::]:49665             [::]:0                 LISTENING       1208
  TCP    [::]:49668             [::]:0                 LISTENING       2380
  TCP    [::]:49669             [::]:0                 LISTENING       3828
  TCP    [::]:49703             [::]:0                 LISTENING       10460
  TCP    [::]:49743             [::]:0                 LISTENING       1320
  TCP    [::]:51877             [::]:0                 LISTENING       6228
  TCP    [::]:59605             [::]:0                 LISTENING       9568
  TCP    [::1]:3000             [::1]:56819            ESTABLISHED     38668
  TCP    [::1]:5173             [::]:0                 LISTENING       55936
  TCP    [::1]:5173             [::1]:53367            ESTABLISHED     55936
  TCP    [::1]:42050            [::]:0                 LISTENING       54180
  TCP    [::1]:49709            [::]:0                 LISTENING       12168
  TCP    [::1]:49709            [::1]:55694            ESTABLISHED     12168
  TCP    [::1]:49712            [::]:0                 LISTENING       11932
  TCP    [::1]:53367            [::1]:5173             ESTABLISHED     19824
  TCP    [::1]:55694            [::1]:49709            ESTABLISHED     14376
  TCP    [::1]:56819            [::1]:3000             ESTABLISHED     19824
  UDP    0.0.0.0:53             *:*                                    21768
  UDP    0.0.0.0:123            *:*                                    11068
  UDP    0.0.0.0:500            *:*                                    11692
  UDP    0.0.0.0:4500           *:*                                    11692
  UDP    0.0.0.0:5050           *:*                                    7444
  UDP    0.0.0.0:5353           *:*                                    19824
  UDP    0.0.0.0:5353           *:*                                    19560
  UDP    0.0.0.0:5353           *:*                                    19824
  UDP    0.0.0.0:5353           *:*                                    19824
  UDP    0.0.0.0:5353           *:*                                    19824
  UDP    0.0.0.0:5353           *:*                                    46556
  UDP    0.0.0.0:5353           *:*                                    19560
  UDP    0.0.0.0:5353           *:*                                    19560
  UDP    0.0.0.0:5353           *:*                                    19824
  UDP    0.0.0.0:5353           *:*                                    19560
  UDP    0.0.0.0:5353           *:*                                    2244
  UDP    0.0.0.0:5353           *:*                                    19824
  UDP    0.0.0.0:5353           *:*                                    46556
  UDP    0.0.0.0:5353           *:*                                    46556
  UDP    0.0.0.0:5353           *:*                                    19824
  UDP    0.0.0.0:5353           *:*                                    46556
  UDP    0.0.0.0:5353           *:*                                    19824
  UDP    0.0.0.0:5355           *:*                                    2244
  UDP    0.0.0.0:7897           *:*                                    21768
  UDP    0.0.0.0:8566           *:*                                    9320
  UDP    10.30.65.63:137        *:*                                    4
  UDP    10.30.65.63:138        *:*                                    4
  UDP    10.30.65.63:1900       *:*                                    22976
  UDP    10.30.65.63:50345      *:*                                    22976
  UDP    127.0.0.1:1900         *:*                                    22976
  UDP    127.0.0.1:50346        *:*                                    22976
  UDP    127.0.0.1:60101        127.0.0.1:60101                        11924
  UDP    192.168.56.1:137       *:*                                    4
  UDP    192.168.56.1:138       *:*                                    4
  UDP    192.168.56.1:1900      *:*                                    22976
  UDP    192.168.56.1:50344     *:*                                    22976
  UDP    [::]:53                *:*                                    21768
  UDP    [::]:123               *:*                                    11068
  UDP    [::]:500               *:*                                    11692
  UDP    [::]:4500              *:*                                    11692
  UDP    [::]:5353              *:*                                    19824
  UDP    [::]:5353              *:*                                    46556
  UDP    [::]:5353              *:*                                    19560
  UDP    [::]:5353              *:*                                    46556
  UDP    [::]:5353              *:*                                    19824
  UDP    [::]:5353              *:*                                    19560
  UDP    [::]:5353              *:*                                    2244
  UDP    [::]:5353              *:*                                    19824
  UDP    [::]:5353              *:*                                    19824
  UDP    [::]:5355              *:*                                    2244
  UDP    [::]:7897              *:*                                    21768
  UDP    [::1]:1900             *:*                                    22976
  UDP    [::1]:50343            *:*                                    22976
  UDP    [fe80::2468:ab18:6ea0:f4ac%15]:1900  *:*                                    22976
  UDP    [fe80::2468:ab18:6ea0:f4ac%15]:50342  *:*                                    22976
  UDP    [fe80::a916:877c:383d:1218%19]:1900  *:*                                    22976
  UDP    [fe80::a916:877c:383d:1218%19]:50341  *:*                                    22976
